iter	RMSE
1730	0.1305742415
1731	0.130435861
1732	0.1303286681
1733	0.1302650195
1734	0.1301562378
1735	0.1300640444
1736	0.1299691345
1737	0.12987389
1738	0.1298401947
1739	0.1297505964
1740	0.1296064934
1741	0.1295460262
1742	0.1293101679
1743	0.1292381038
1744	0.1290729227
1745	0.1289631105
1746	0.1289184909
1747	0.1288098803
1748	0.1286596754
1749	0.1285963739
1750	0.1285507974
1751	0.1284318047
1752	0.1283577976
1753	0.1282782664
1754	0.1281682554
1755	0.1280466161
1756	0.1279780736
1757	0.1279084389
1758	0.1278626265
1759	0.127765665
1760	0.1276536298
1761	0.1275442761
1762	0.1274505669
1763	0.1273338151
1764	0.1272969074
1765	0.1271731843
1766	0.1270193981
1767	0.12697011
1768	0.1268418368
1769	0.1267319371
1770	0.1266374579
1771	0.1266092398
1772	0.1264961241
1773	0.1263907584
1774	0.1263130337
1775	0.126276849
1776	0.1262486476
1777	0.1261461095
1778	0.126011827
1779	0.1259247985
1780	0.1258008192
1781	0.125712738
1782	0.1255937266
1783	0.1254596695
1784	0.1254195656
1785	0.1252611023
1786	0.1252147914
1787	0.1251593695
1788	0.125093218
1789	0.1249881826
1790	0.1248154613
1791	0.1247274249
1792	0.1246832931
1793	0.1246143423
1794	0.1245471304
1795	0.1244975681
1796	0.124408878
1797	0.1243308708
1798	0.1242456785
1799	0.1241942174
1800	0.1241730939
1801	0.1240994928
1802	0.1240520093
1803	0.1240166041
1804	0.1239667634
1805	0.1238889457
1806	0.1238476796
1807	0.1237232804
1808	0.1236510511
1809	0.123533707
1810	0.1234911035
1811	0.123374527
1812	0.123338836
1813	0.1232790713
1814	0.1231521904
1815	0.1229815099
1816	0.1228557642
1817	0.1227431018
1818	0.1226483235
1819	0.1225591591
1820	0.1225132686
1821	0.122411246
1822	0.122310388
1823	0.1221900644
1824	0.1220388773
1825	0.121993092
1826	0.1219608483
1827	0.1218447561
1828	0.1217317811
1829	0.1216728724
1830	0.1215948527
1831	0.121525343
1832	0.1215024297
1833	0.1214419442
1834	0.1213708515
1835	0.1212986196
1836	0.1212368507
1837	0.1211136234
1838	0.1210666251
1839	0.121020098
1840	0.1209695305
1841	0.1209037988
1842	0.1208404664
1843	0.120796407
1844	0.1206607113
1845	0.1206289657
1846	0.1205136114
1847	0.1204307232
1848	0.120389686
1849	0.1202384819
1850	0.1201652963
1851	0.1200886921
1852	0.1200450737
1853	0.1199756174
1854	0.1199107131
1855	0.119859397
1856	0.1197990369
1857	0.1197111608
1858	0.1196661849
1859	0.119572118
1860	0.1195473219
1861	0.1194949498
1862	0.1194287262
1863	0.1193441062
1864	0.1192579721
1865	0.1191605834
1866	0.1190784698
1867	0.1190056335
1868	0.1189092021
1869	0.1188111624
1870	0.1187577684
1871	0.1185886034
1872	0.1185326455
1873	0.1184315567
1874	0.118332323
1875	0.1182216547
1876	0.1181324284
1877	0.1180485493
1878	0.1179305993
1879	0.1178644708
1880	0.1177205457
1881	0.1176373074
1882	0.1175728298
1883	0.1175316612
1884	0.117502684
1885	0.1174086235
1886	0.1173225658
1887	0.1172576228
1888	0.1172200371
1889	0.1171886097
1890	0.1170790842
1891	0.1169524158
1892	0.1168521014
1893	0.1168135732
1894	0.1167234851
1895	0.1166563103
1896	0.1165948648
1897	0.1165365167
1898	0.116442166
1899	0.1163722503
1900	0.1162894189
1901	0.1161916669
1902	0.1161432679
1903	0.1160463007
1904	0.1159568734
1905	0.115890444
1906	0.1158600034
1907	0.1158069461
1908	0.1156704997
1909	0.1154585996
1910	0.1153994021
1911	0.1153537055
1912	0.1152903381
1913	0.1152330959
1914	0.1151352776
1915	0.1150182556
1916	0.1149603784
1917	0.1148680601
1918	0.1147141822
1919	0.1146533095
1920	0.1145460648
1921	0.1144356515
1922	0.1143526687
1923	0.1142439794
1924	0.1142308283
1925	0.11414503
1926	0.1140468295
1927	0.1139802429
1928	0.1138861973
1929	0.113694983
1930	0.1136464473
1931	0.1136069771
1932	0.1134180194
1933	0.1133254902
1934	0.1132746079
1935	0.113214979
1936	0.113116148
1937	0.1130680983
1938	0.1129946137
1939	0.1129078749
1940	0.1128280646
1941	0.1127039348
1942	0.1126310748
1943	0.1125503597
1944	0.1124246739
1945	0.1122544236
1946	0.1122310859
1947	0.1121589156
1948	0.1120973516
1949	0.1120247131
1950	0.1119708678
1951	0.1118914153
1952	0.1118210857
1953	0.11178225
1954	0.111698167
1955	0.1116098537
1956	0.1115459736
1957	0.1114598691
1958	0.1114354632
1959	0.1113227077
1960	0.1112696115
1961	0.1112440805
1962	0.1111489424
1963	0.111094129
1964	0.1109574626
1965	0.1109029264
1966	0.110818329
1967	0.1107322125
1968	0.1106199556
1969	0.1105418156
1970	0.1104551621
1971	0.1103644582
1972	0.1102692325
1973	0.1101575151
1974	0.1100544435
1975	0.1099907601
1976	0.1098960289
1977	0.1098385356
1978	0.1097818182
1979	0.1097297355
1980	0.1096259962
1981	0.1096090508
1982	0.1095440654
1983	0.109512521
1984	0.1094637335
1985	0.1091982142
1986	0.1091491776
1987	0.1090403383
1988	0.1089444978
1989	0.1088849544
1990	0.1087789318
1991	0.1087372634
1992	0.1086524714
1993	0.108524791
1994	0.108446332
1995	0.1083557899
1996	0.1083172472
1997	0.1082511478
1998	0.1081763626
1999	0.1080548983
2000	0.107992996
2001	0.1079198447
2002	0.1077490297
2003	0.1077139815
2004	0.1076872172
2005	0.1076609563
2006	0.1075572356
2007	0.1074998854
2008	0.107343547
2009	0.1072750086
2010	0.1071908643
2011	0.1070921517
2012	0.1069900974
2013	0.10693784
2014	0.1068578504
2015	0.1067811481
2016	0.1067402215
2017	0.1067075117
2018	0.106582062
2019	0.106520852
2020	0.106390552
2021	0.1063377642
2022	0.1062704527
2023	0.1061384027
2024	0.1061054487
2025	0.1060600035
2026	0.1060061591
2027	0.1059171296
2028	0.105822674
2029	0.1056928824
2030	0.1056269379
2031	0.1055249256
2032	0.105476312
2033	0.1054103964
2034	0.1053501881
2035	0.1052696466
2036	0.1052233534
2037	0.1051560484
2038	0.1050924592
2039	0.1050442952
2040	0.1049530185
2041	0.1049204429
2042	0.1048226003
2043	0.1047240475
2044	0.1046916942
2045	0.1046280203
2046	0.1045678283
2047	0.1045433834
2048	0.1044746242
2049	0.1044092613
2050	0.1043278189
2051	0.1042700345
2052	0.1041785935
2053	0.1041122774
2054	0.1040114004
2055	0.1039645427
2056	0.1039329221
2057	0.1038858507
2058	0.1038538524
2059	0.1038336402
2060	0.1037505409
2061	0.1036396138
2062	0.1036125204
2063	0.103546028
2064	0.1034996696
2065	0.1034636418
2066	0.1033999546
2067	0.1033196318
2068	0.1032800828
2069	0.1031779146
2070	0.1031413075
2071	0.1030644622
2072	0.1029579301
2073	0.1029264988
2074	0.1028405916
2075	0.1028179853
2076	0.1026710951
2077	0.1026299837
2078	0.1025640444
2079	0.1024723354
2080	0.1024117118
2081	0.1023105665
2082	0.1021985058
2083	0.1020697124
2084	0.1020286575
2085	0.1019211322
2086	0.1018241853
2087	0.1017681324
2088	0.1017284044
2089	0.1016885498
2090	0.1016347799
2091	0.1015322027
2092	0.1014239584
2093	0.1013886755
2094	0.1013184348
2095	0.1012964128
2096	0.1012139482
2097	0.1011733656
2098	0.1010598903
2099	0.1010170711
2100	0.1009350716
2101	0.1008849982
2102	0.1007855862
2103	0.1006796277
2104	0.1006541513
2105	0.1005854403
2106	0.1005340822
2107	0.1004021079
2108	0.1003242826
2109	0.1002481007
2110	0.1001072618
2111	0.1000710983
2112	0.09996979415
2113	0.09993613722
2114	0.0998869926
2115	0.09982174055
2116	0.09979155826
2117	0.09974392664
2118	0.09965579623
2119	0.09959747265
2120	0.09947929802
2121	0.09943882788
2122	0.09938346211
2123	0.09934740309
2124	0.09926892153
2125	0.09916665924
2126	0.0990974286
2127	0.0990541669
2128	0.09898023421
2129	0.09893179515
2130	0.09889789794
2131	0.09884780943
2132	0.09882546736
2133	0.09877589739
2134	0.09872638995
2135	0.09869695158
2136	0.09860386503
2137	0.09855611927
2138	0.09849023654
2139	0.09846372939
2140	0.09837910819
2141	0.09831793443
2142	0.09829121089
2143	0.09822027318
2144	0.09816114632
2145	0.09810662009
2146	0.09804502285
2147	0.09796741963
2148	0.09794499502
2149	0.09783392144
2150	0.09768857822
2151	0.09765916284
2152	0.09762732636
2153	0.09754235152
2154	0.09749525786
2155	0.0974430657
2156	0.09738431064
2157	0.09732879543
2158	0.097278175
2159	0.09723029599
2160	0.09717400264
2161	0.0971273018
2162	0.09704120964
2163	0.09700585437
2164	0.0969110803
2165	0.09688221791
